D00210.001,D00120.001
2.933939,0.429944
0.083153,0.855679
5.753930,1.273379
0.468400,1.910654
4.531717,1.982483
-0.024323,2.632370
5.268782,1.869285
0.768232,3.199575
1.276975,1.689489
4.860221,1.501276
7.988028,2.015065
5.623380,2.373231
1.062424,1.813484
0.184681,2.424435
0.034960,1.894357
0.197545,1.494017
2.880156,1.925379
0.946444,1.466489
0.282263,0.894212
0.209587,0.931108
3.754020,3.424630
0.715258,2.008388
1.003991,1.731679
3.155302,1.430742
3.134830,1.164469
1.092463,1.876686
-0.006617,1.925051
2.312111,1.385499
5.695891,0.533053
0.155067,0.516972
4.668226,0.539138
5.830976,2.380697
5.124447,2.101080
0.991648,1.627689
1.026529,0.626270
0.705154,1.661970
7.913304,2.118233
0.070571,1.327040
0.276736,0.651099
0.094621,1.789281
3.241774,1.357922
0.849811,1.401560
0.141084,1.208701
6.505782,4.680227
0.245630,1.336723
2.852335,1.944151
0.018524,0.858811
1.925939,1.088850
0.693747,1.856187
0.809775,1.482263
0.874531,1.369439
0.550572,2.282529
0.435536,1.769034
0.096010,0.718110
0.487301,1.827541
-0.024859,1.273697
0.724242,0.797175
0.551723,3.395527
0.750239,2.569215
0.060977,0.851726
0.479050,1.200842
0.350424,1.027221
3.230865,0.482346
1.426170,1.850806
1.890985,1.683190
0.911691,1.104504
3.393929,2.096788
5.086128,1.122536
1.330427,2.164979
0.023228,1.017599
-0.018358,0.768024
6.812597,1.474072
2.097176,1.993487
0.256733,1.200850
0.467492,0.684402
4.584516,0.579578
-0.000423,1.152817
0.128943,0.404492
0.999857,1.569349
0.407392,1.287283
3.238307,1.885110
-0.028431,0.328030
0.942788,1.184304
0.629741,0.464738
2.009852,2.395778
0.315598,0.824860
3.969787,0.993837
0.870775,0.993507
0.093252,1.589308
0.409453,1.027926
0.195400,1.165308
0.047383,1.062344
1.101722,0.921151
-0.056845,2.934823
4.287669,0.930969
0.001331,0.954476
2.515330,1.886191
0.626748,1.338690
0.240860,1.428246
0.482951,1.921090
0.742592,1.374065
0.066153,1.089737
0.428816,0.985800
0.011248,0.703374
-0.010420,1.305421
0.041500,1.158958
3.377795,2.496863
0.086813,1.328718
5.376030,3.935503
0.095308,0.996129
1.053089,1.574139
0.047291,1.189789
0.274342,1.106426
0.458680,2.648659
3.528691,1.937955
0.823350,1.427475
3.133682,2.866734
0.413302,0.971700
3.092304,0.781949
0.411872,0.618729
-0.097575,1.113560
0.151092,1.153350
0.869483,0.920835
1.619176,2.369303
4.745614,1.363963
0.391693,0.877464
0.691244,1.988576
5.329547,2.440236
0.249376,0.838517
8.125090,1.922610
0.278797,0.448139
0.797373,1.318751
0.563843,1.163347
1.616433,2.581480
0.305046,0.634663
0.147196,0.810908
0.298948,1.378645
1.123235,0.790316
0.133269,2.862204
-0.046702,1.691234
6.576205,1.778576
0.135117,1.308048
0.533702,0.949822
0.355163,1.400797
6.659469,2.173179
0.429637,1.512769
5.069194,0.867273
4.772162,0.769669
0.356251,1.217484
0.550946,2.222238
6.065462,1.538342
0.498776,2.155440
0.738310,0.929212
0.493580,0.466084
0.381180,1.219371
0.357324,2.758087
4.617476,3.579957
0.497277,1.904287
4.364091,3.029490
4.568711,2.935775
1.141236,1.443401
1.750398,0.902766
0.357627,1.946460
-0.060146,0.495559
0.093917,1.391366
2.980947,1.153311
5.577889,3.412953
1.081841,1.294654
0.185598,3.110566
0.114318,2.526004
0.351282,1.641141
0.258449,1.342110
4.230106,1.082565
1.029154,0.430081
7.656509,3.340681
3.795684,1.838263
0.131954,1.408965
0.081987,1.531194
3.855002,1.541068
4.856072,2.831123
1.678142,1.200160
4.727422,2.477324
4.409135,0.573880
0.064352,0.595560
0.773303,1.113328
0.356761,1.969271
0.065227,3.370131
0.231943,2.923032
0.123289,0.990844
2.958271,1.187717
0.715781,1.745294
1.914918,1.494112
0.285597,1.516643
0.495530,1.291007
0.176195,1.064222
4.949858,3.552928
0.159548,1.307504
5.865287,1.397512
4.109825,1.699453
5.944544,2.464181
0.347245,1.472320
0.172041,1.490844
1.284548,0.923519
0.138709,2.433971
0.061333,1.883246
1.632402,3.160233
0.457077,1.730635
0.262459,2.833252
2.107280,0.967753
0.020643,1.834121
0.309103,2.711406
1.739954,1.796148
4.159905,1.999150
4.291427,0.726311
0.017491,2.276128
0.088754,2.067391
0.406390,1.457303
4.055777,0.809079
2.289323,2.022701
0.099369,0.690900
0.542176,0.654052
1.064243,0.920824
5.766747,1.122249
6.094357,2.603017
0.841320,2.275450
0.385780,1.164019
-0.061894,1.549284
0.857737,1.893838
0.364126,2.161184
0.407162,1.894351
0.007913,1.401032
0.232336,1.010675
2.843529,2.994287
0.048600,1.865298
0.061531,0.362922
4.852455,1.910522
1.167392,2.094781
0.658160,2.294516
0.975154,3.069080
0.727161,1.448835
-0.107776,2.471202
2.967874,1.620925
2.586043,0.554525
1.226303,1.274602
0.206101,3.249412
3.096894,1.426405
5.735098,2.917070
0.085525,1.020924
2.853057,1.454890
1.625585,3.677110
4.171402,0.948484
0.258807,3.093310
0.573200,1.834183
1.780166,1.682471
1.061208,1.563531
4.838390,0.968882
0.113558,1.663838
0.206790,2.439239
0.599819,1.392031
0.744540,0.743743
0.154564,1.318436
1.788260,1.052794
5.767482,0.726941
0.003483,0.883251
-0.060369,0.798711
0.792273,1.313002
3.009009,1.407173
4.209912,1.203168
0.484681,1.347936
-0.041190,0.592115
6.426457,1.555503
-0.035786,0.312370
0.275156,0.640795
2.537452,0.899733
0.385887,1.878293
0.032839,1.181852
2.876193,1.863257
5.160486,1.365030
0.326264,3.571480
0.693411,1.687130
0.659353,1.250379
0.044121,1.176211
5.275478,2.162166
3.597752,2.012997
1.760640,0.901245
0.179370,1.031809
2.896977,1.383586
4.535287,1.326891
0.515325,0.819144
-0.029255,1.066455
0.258918,1.471512
0.754973,3.526261
2.630475,2.276490
3.826021,3.297128
0.393410,1.316341
3.784799,1.802096
3.421558,2.171799
1.404512,0.683443
0.405059,1.113616
0.556623,1.524435
0.646729,1.846700
0.259381,2.031871
0.373909,1.479659
0.815695,0.714286
0.271171,0.380509
7.410208,2.741509
3.011626,1.020911
0.573786,2.170142
0.031896,1.224011
0.319214,0.686701
-0.060308,0.777861
4.281976,2.332198
2.277230,0.734109
0.360147,0.846626
-0.063313,0.541086
0.267101,0.104813
2.723911,2.475186
3.268872,0.624564
0.362515,0.691044
3.878224,1.402395
1.016610,1.346105
0.358236,2.195438
0.220632,0.527390
1.626466,2.325200
0.013521,2.373517
1.142542,0.772801
0.686077,1.569727
3.918160,1.582794
5.338052,1.428655
0.000561,0.914929
0.496754,1.251779
0.817462,2.184718
0.869575,2.190831
0.706369,2.672913
6.167344,1.708254
0.381474,1.693159
4.430715,1.577603
0.689235,1.518669
0.161273,1.732470
0.735082,2.359576
5.916761,1.713759
0.098018,2.111081
0.912654,1.169477
-0.059349,0.831527
0.500362,2.298980
0.449276,0.324736
0.240926,1.983828
0.398269,2.240860
0.190455,1.108740
0.949522,1.738812
4.393580,2.523602
5.299408,1.765262
2.216290,0.947042
0.606099,1.052540
0.054923,2.685292
